----------------------------------------------
|             ListStackInstances             |
+--------------+----------------+------------+
|  288761743948|  us-east-1     |  CURRENT   |
|  288761749193|  eu-central-1  |  CURRENT   |
|  288761749193|  eu-west-1     |  CURRENT   |
|  288761749193|  us-east-1     |  CURRENT   |
|  296683127021|  eu-central-1  |  CURRENT   |
|  296683127021|  eu-west-1     |  CURRENT   |
|  296683127021|  us-east-1     |  CURRENT   |
|  298334370146|  eu-central-1  |  CURRENT   |
|  298334370146|  eu-west-1     |  CURRENT   |
|  298334370146|  us-east-1     |  CURRENT   |
|  309797288544|  eu-central-1  |  CURRENT   |
|  309797288544|  eu-west-1     |  CURRENT   |
|  309797288544|  us-east-1     |  CURRENT   |
|  311141521726|  eu-central-1  |  CURRENT   |
|  311141521726|  eu-west-1     |  CURRENT   |
|  311141521726|  us-east-1     |  CURRENT   |
|  314146322404|  eu-central-1  |  CURRENT   |
|  314146322404|  eu-west-1     |  CURRENT   |
|  314146322404|  us-east-1     |  CURRENT   |
|  323135480621|  eu-central-1  |  OUTDATED  |
|  323135480621|  eu-west-1     |  OUTDATED  |
|  323135480621|  us-east-1     |  OUTDATED  |
|  329599647651|  eu-central-1  |  CURRENT   |
|  329599647651|  eu-west-1     |  CURRENT   |
|  329599647651|  us-east-1     |  CURRENT   |
|  337909743459|  eu-central-1  |  CURRENT   |
|  337909743459|  eu-west-1     |  CURRENT   |
|  337909743459|  us-east-1     |  CURRENT   |
|  343218181928|  eu-central-1  |  CURRENT   |
|  343218181928|  eu-west-1     |  CURRENT   |
|  343218181928|  us-east-1     |  CURRENT   |
|  343218213563|  eu-central-1  |  CURRENT   |
|  343218213563|  eu-west-1     |  CURRENT   |
|  343218213563|  us-east-1     |  CURRENT   |
|  343487555085|  eu-central-1  |  CURRENT   |
|  343487555085|  eu-west-1     |  CURRENT   |
|  343487555085|  us-east-1     |  CURRENT   |
|  344837150589|  eu-central-1  |  CURRENT   |
|  344837150589|  eu-west-1     |  CURRENT   |
|  344837150589|  us-east-1     |  CURRENT   |
|  384747604241|  eu-central-1  |  CURRENT   |
|  384747604241|  eu-west-1     |  CURRENT   |
|  384747604241|  us-east-1     |  CURRENT   |
|  396608771737|  eu-central-1  |  CURRENT   |
|  396608771737|  eu-west-1     |  CURRENT   |
|  396608771737|  us-east-1     |  CURRENT   |
|  405894843300|  eu-central-1  |  CURRENT   |
|  405894843300|  eu-west-1     |  CURRENT   |
|  405894843300|  us-east-1     |  CURRENT   |
|  412381768295|  eu-central-1  |  CURRENT   |
|  412381768295|  eu-west-1     |  CURRENT   |
|  412381768295|  us-east-1     |  CURRENT   |
|  412381770444|  eu-central-1  |  CURRENT   |
|  412381770444|  eu-west-1     |  CURRENT   |
|  412381770444|  us-east-1     |  CURRENT   |
|  414392949441|  eu-central-1  |  CURRENT   |
|  414392949441|  eu-west-1     |  CURRENT   |
|  414392949441|  us-east-1     |  CURRENT   |
|  415529767247|  eu-central-1  |  CURRENT   |
|  415529767247|  eu-west-1     |  CURRENT   |
|  415529767247|  us-east-1     |  CURRENT   |
|  437474202126|  eu-central-1  |  CURRENT   |
|  437474202126|  eu-west-1     |  CURRENT   |
|  437474202126|  us-east-1     |  CURRENT   |
|  438465164038|  eu-central-1  |  CURRENT   |
|  438465164038|  eu-west-1     |  CURRENT   |
|  438465164038|  us-east-1     |  CURRENT   |
|  442426888142|  eu-central-1  |  CURRENT   |
|  442426888142|  eu-west-1     |  CURRENT   |
|  442426888142|  us-east-1     |  CURRENT   |
|  443370714528|  eu-central-1  |  CURRENT   |
|  443370714528|  eu-west-1     |  CURRENT   |
|  443370714528|  us-east-1     |  CURRENT   |
|  445567114084|  eu-central-1  |  CURRENT   |
|  445567114084|  eu-west-1     |  CURRENT   |
|  445567114084|  us-east-1     |  CURRENT   |
|  448049785966|  eu-central-1  |  CURRENT   |
|  448049785966|  eu-west-1     |  CURRENT   |
|  448049785966|  us-east-1     |  CURRENT   |
|  448049788660|  eu-central-1  |  CURRENT   |
|  448049788660|  eu-west-1     |  CURRENT   |
|  448049788660|  us-east-1     |  CURRENT   |
|  463470950988|  eu-central-1  |  CURRENT   |
|  463470950988|  eu-west-1     |  CURRENT   |
|  463470950988|  us-east-1     |  CURRENT   |
|  467389992282|  eu-central-1  |  CURRENT   |
|  467389992282|  eu-west-1     |  CURRENT   |
|  467389992282|  us-east-1     |  CURRENT   |
|  467968340391|  eu-central-1  |  CURRENT   |
|  467968340391|  eu-west-1     |  CURRENT   |
|  467968340391|  us-east-1     |  CURRENT   |
|  475515413435|  eu-central-1  |  CURRENT   |
|  475515413435|  eu-west-1     |  CURRENT   |
|  475515413435|  us-east-1     |  CURRENT   |
|  481980074895|  eu-central-1  |  CURRENT   |
|  481980074895|  eu-west-1     |  CURRENT   |
|  481980074895|  us-east-1     |  CURRENT   |
|  486128667962|  eu-central-1  |  CURRENT   |
|  486128667962|  eu-west-1     |  CURRENT   |
|  486128667962|  us-east-1     |  CURRENT   |
|  495599740165|  eu-central-1  |  CURRENT   |
|  495599740165|  eu-west-1     |  CURRENT   |
|  495599740165|  us-east-1     |  CURRENT   |
|  495599742316|  eu-central-1  |  CURRENT   |
|  495599742316|  eu-west-1     |  CURRENT   |
|  495599742316|  us-east-1     |  CURRENT   |
|  499648498289|  eu-central-1  |  CURRENT   |
|  499648498289|  eu-west-1     |  CURRENT   |
|  499648498289|  us-east-1     |  CURRENT   |
|  502141097771|  eu-central-1  |  CURRENT   |
|  502141097771|  eu-west-1     |  CURRENT   |
|  502141097771|  us-east-1     |  CURRENT   |
|  509685826727|  eu-central-1  |  CURRENT   |
|  509685826727|  eu-west-1     |  CURRENT   |
|  509685826727|  us-east-1     |  CURRENT   |
|  515966510180|  eu-central-1  |  CURRENT   |
|  515966510180|  eu-west-1     |  CURRENT   |
|  515966510180|  us-east-1     |  CURRENT   |
|  518730249758|  eu-central-1  |  CURRENT   |
|  518730249758|  eu-west-1     |  CURRENT   |
|  518730249758|  us-east-1     |  CURRENT   |
|  528757791414|  eu-central-1  |  CURRENT   |
|  528757791414|  eu-west-1     |  CURRENT   |
|  528757791414|  us-east-1     |  CURRENT   |
|  529088286633|  eu-central-1  |  CURRENT   |
|  529088286633|  eu-west-1     |  CURRENT   |
|  529088286633|  us-east-1     |  CURRENT   |
|  537124942586|  eu-central-1  |  CURRENT   |
|  537124942586|  eu-west-1     |  CURRENT   |
|  537124942586|  us-east-1     |  CURRENT   |
|  584102815888|  eu-central-1  |  CURRENT   |
|  584102815888|  eu-west-1     |  CURRENT   |
|  584102815888|  us-east-1     |  CURRENT   |
|  585008053249|  eu-central-1  |  CURRENT   |
|  585008053249|  eu-west-1     |  CURRENT   |
|  585008053249|  us-east-1     |  CURRENT   |
|  585768144936|  eu-central-1  |  CURRENT   |
|  585768144936|  eu-west-1     |  CURRENT   |
|  585768144936|  us-east-1     |  CURRENT   |
|  593123425496|  eu-central-1  |  CURRENT   |
|  593123425496|  eu-west-1     |  CURRENT   |
|  593123425496|  us-east-1     |  CURRENT   |
|  593793039564|  eu-central-1  |  CURRENT   |
|  593793039564|  eu-west-1     |  CURRENT   |
|  593793039564|  us-east-1     |  CURRENT   |
|  593793048595|  eu-central-1  |  CURRENT   |
|  593793048595|  eu-west-1     |  CURRENT   |
|  593793048595|  us-east-1     |  CURRENT   |
|  605134436600|  eu-central-1  |  CURRENT   |
|  605134436600|  eu-west-1     |  CURRENT   |
|  605134436600|  us-east-1     |  CURRENT   |
|  615299752577|  eu-central-1  |  CURRENT   |
|  615299752577|  eu-west-1     |  CURRENT   |
|  615299752577|  us-east-1     |  CURRENT   |
|  648637468459|  eu-central-1  |  CURRENT   |
|  648637468459|  eu-west-1     |  CURRENT   |
|  648637468459|  us-east-1     |  CURRENT   |
|  663354325483|  eu-central-1  |  CURRENT   |
|  663354325483|  eu-west-1     |  CURRENT   |
|  663354325483|  us-east-1     |  CURRENT   |
|  664418974652|  eu-central-1  |  CURRENT   |
|  664418974652|  eu-west-1     |  CURRENT   |
|  664418974652|  us-east-1     |  CURRENT   |
|  664418998745|  eu-central-1  |  CURRENT   |
|  664418998745|  eu-west-1     |  CURRENT   |
|  664418998745|  us-east-1     |  CURRENT   |
|  676206913131|  eu-central-1  |  CURRENT   |
|  676206913131|  eu-west-1     |  CURRENT   |
|  676206913131|  us-east-1     |  CURRENT   |
|  677276091734|  eu-central-1  |  CURRENT   |
|  677276091734|  eu-west-1     |  CURRENT   |
|  677276091734|  us-east-1     |  CURRENT   |
|  682033471539|  eu-central-1  |  CURRENT   |
|  682033471539|  eu-west-1     |  CURRENT   |
|  682033471539|  us-east-1     |  CURRENT   |
|  684354630606|  eu-central-1  |  CURRENT   |
|  684354630606|  eu-west-1     |  CURRENT   |
|  684354630606|  us-east-1     |  CURRENT   |
|  697863031884|  eu-central-1  |  CURRENT   |
|  697863031884|  eu-west-1     |  CURRENT   |
|  697863031884|  us-east-1     |  CURRENT   |
|  711387109786|  eu-central-1  |  CURRENT   |
|  711387109786|  eu-west-1     |  CURRENT   |
|  711387109786|  us-east-1     |  CURRENT   |
|  711387121692|  eu-central-1  |  CURRENT   |
|  711387121692|  eu-west-1     |  CURRENT   |
|  711387121692|  us-east-1     |  CURRENT   |
|  713881815639|  eu-central-1  |  CURRENT   |
|  713881815639|  eu-west-1     |  CURRENT   |
|  713881815639|  us-east-1     |  CURRENT   |
|  714377355835|  eu-central-1  |  CURRENT   |
|  714377355835|  eu-west-1     |  CURRENT   |
|  714377355835|  us-east-1     |  CURRENT   |
|  762603643412|  eu-central-1  |  CURRENT   |
|  762603643412|  eu-west-1     |  CURRENT   |
|  762603643412|  us-east-1     |  CURRENT   |
|  764988411222|  eu-central-1  |  CURRENT   |
|  764988411222|  eu-west-1     |  CURRENT   |
|  764988411222|  us-east-1     |  CURRENT   |
|  765812221756|  eu-central-1  |  CURRENT   |
|  765812221756|  eu-west-1     |  CURRENT   |
|  765812221756|  us-east-1     |  CURRENT   |
|  767828749690|  eu-central-1  |  CURRENT   |
|  767828749690|  eu-west-1     |  CURRENT   |
|  767828749690|  us-east-1     |  CURRENT   |
|  771826808190|  eu-central-1  |  CURRENT   |
|  771826808190|  eu-west-1     |  CURRENT   |
|  771826808190|  us-east-1     |  CURRENT   |
|  774305574116|  eu-central-1  |  CURRENT   |
|  774305574116|  eu-west-1     |  CURRENT   |
|  774305574116|  us-east-1     |  CURRENT   |
|  796973512193|  eu-central-1  |  CURRENT   |
|  796973512193|  eu-west-1     |  CURRENT   |
|  796973512193|  us-east-1     |  CURRENT   |
|  796973518232|  eu-central-1  |  CURRENT   |
|  796973518232|  eu-west-1     |  CURRENT   |
|  796973518232|  us-east-1     |  CURRENT   |
|  825765383386|  eu-central-1  |  CURRENT   |
|  825765383386|  eu-west-1     |  CURRENT   |
|  825765383386|  us-east-1     |  CURRENT   |
|  825765391206|  eu-central-1  |  CURRENT   |
|  825765391206|  eu-west-1     |  CURRENT   |
|  825765391206|  us-east-1     |  CURRENT   |
|  831926601640|  eu-central-1  |  CURRENT   |
|  831926601640|  eu-west-1     |  CURRENT   |
|  831926601640|  us-east-1     |  CURRENT   |
|  839071825379|  eu-central-1  |  CURRENT   |
|  839071825379|  eu-west-1     |  CURRENT   |
|  839071825379|  us-east-1     |  CURRENT   |
|  842676015206|  eu-central-1  |  CURRENT   |
|  842676015206|  eu-west-1     |  CURRENT   |
|  842676015206|  us-east-1     |  CURRENT   |
|  843632604592|  eu-central-1  |  CURRENT   |
|  843632604592|  eu-west-1     |  CURRENT   |
|  843632604592|  us-east-1     |  CURRENT   |
|  850191425448|  eu-central-1  |  CURRENT   |
|  850191425448|  eu-west-1     |  CURRENT   |
|  850191425448|  us-east-1     |  CURRENT   |
|  850995534424|  eu-central-1  |  CURRENT   |
|  850995534424|  eu-west-1     |  CURRENT   |
|  850995534424|  us-east-1     |  CURRENT   |
|  859762281688|  eu-central-1  |  CURRENT   |
|  859762281688|  eu-west-1     |  CURRENT   |
|  859762281688|  us-east-1     |  CURRENT   |
|  861276111046|  eu-central-1  |  CURRENT   |
|  861276111046|  eu-west-1     |  CURRENT   |
|  861276111046|  us-east-1     |  CURRENT   |
|  867344428625|  eu-central-1  |  CURRENT   |
|  867344428625|  eu-west-1     |  CURRENT   |
|  867344428625|  us-east-1     |  CURRENT   |
|  888577022995|  eu-central-1  |  CURRENT   |
|  888577022995|  eu-west-1     |  CURRENT   |
|  888577022995|  us-east-1     |  CURRENT   |
|  888762632971|  eu-central-1  |  CURRENT   |
|  888762632971|  eu-west-1     |  CURRENT   |
|  888762632971|  us-east-1     |  CURRENT   |
|  897729111286|  eu-central-1  |  CURRENT   |
|  897729111286|  eu-west-1     |  CURRENT   |
|  897729111286|  us-east-1     |  CURRENT   |
|  900278005284|  eu-central-1  |  CURRENT   |
|  900278005284|  eu-west-1     |  CURRENT   |
|  900278005284|  us-east-1     |  CURRENT   |
|  904233109505|  eu-central-1  |  CURRENT   |
|  904233109505|  eu-west-1     |  CURRENT   |
|  904233109505|  us-east-1     |  CURRENT   |
|  904570587823|  eu-central-1  |  CURRENT   |
|  904570587823|  eu-west-1     |  CURRENT   |
|  904570587823|  us-east-1     |  CURRENT   |
|  912142373035|  eu-central-1  |  CURRENT   |
|  912142373035|  eu-west-1     |  CURRENT   |
|  912142373035|  us-east-1     |  CURRENT   |
|  962496666337|  eu-central-1  |  CURRENT   |
|  962496666337|  eu-west-1     |  CURRENT   |
|  962496666337|  us-east-1     |  CURRENT   |
|  970547336735|  eu-central-1  |  CURRENT   |
|  970547336735|  eu-west-1     |  CURRENT   |
|  970547336735|  us-east-1     |  CURRENT   |
